crypto,currency,time,index
BCH,AUD,0,2
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
XRP,AUD,2,4
ZEC,CNY,1,6
ZEC,CNY,1,6
BTC,CNY,1,0
BTC,CNY,1,0
BTC,CNY,1,0
BTC,CNY,1,0
BTC,CNY,1,0
BCH,CNY,1,2
XRP,CNY,1,4
XRP,CNY,1,4
XRP,CNY,1,4
ZEC,CNY,1,6
ZEC,CNY,1,6
XMR,CNY,1,5
XRP,CNY,1,4
XRP,CNY,1,4
XRP,CNY,1,4
XRP,CNY,1,4
BCH,CNY,1,2
XRP,CNY,1,4
XMR,CNY,1,5
BCH,CNY,1,2
XMR,CNY,1,5
ZEC,CNY,1,6
ZEC,CNY,1,6
ZEC,CNY,1,6
ZEC,USD,1,6
ZEC,USD,1,6
ZEC,USD,1,6
ZEC,USD,1,6
ZEC,USD,0,6
ZEC,USD,0,6
ZEC,USD,0,6
ZEC,USD,0,6
BTC,USD,2,0
BTC,USD,0,0
BTC,USD,2,0
BTC,USD,2,0
BTC,USD,2,0
BTC,JPY,2,0
BTC,JPY,0,0
BTC,JPY,0,0
BTC,JPY,0,0
BTC,JPY,0,0
BTC,JPY,0,0
BTC,JPY,0,0
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
ZEC,JPY,0,6
BTC,USD,2,0
BCH,USD,0,2
BCH,USD,0,2
BCH,USD,2,2
BCH,USD,2,2
BCH,USD,2,2
BCH,USD,2,2
BCH,USD,2,2
BCH,USD,0,2
BCH,JPY,2,2
XRP,JPY,2,4
ZEC,JPY,2,6
XRP,JPY,2,4
XRP,JPY,2,4
XMR,JPY,2,5
XRP,GBP,2,4
XRP,GBP,2,4
XRP,GBP,2,4
